id,name,vernacularName,otherNames,wiktionary,glottologId,glottologFamilyId,glottologParentId,level,lat,long,country,iso639_3,iso639_1,scope,type,speakers,logo,logoDesc
4247,Malay,Melayu,,5861.0,mala1538,aust1307,nort3170,family,4.5,114.6667,BN CX MY SG,msa,ms,M,L,77000000.0,ms,"Abdullah Hussain (1920 – 2014), a Malaysian novelist and writer"
4392,Burmese,မြန်မာ,,5395.0,nucl1310,sino1245,oldm1246,language,20.7926,93.9665,BD MM TH,mya,my,I,L,33000000.0,my,"May Shin (1917 – 2008), a Burmese actress and singer"
4677,Dutch,Nederlands,,117616.0,dutc1256,indo1319,glob1241,language,52.0,5.0,AW BE BQ BR CW DE GF GY NL SR SX,nld,nl,I,L,25000000.0,nl,"Joseph Albert Alberdingk Thijm (1820 – 1889), a Dutch writer, art critic, philologist, poet"
4759,Norwegian,Norsk,,71691.0,norw1258,indo1319,west2805,language,59.92,10.71,FI NO RU SE SJ,nor,no,M,L,5320000.0,no,"Knut Hamsun (1859 – 1952), a Norwegian writer who was awarded the Nobel Prize in Literature in 1920"
5111,Punjabi,ਪੰਜਾਬੀ,,1468.0,panj1256,indo1319,east2727,language,30.0368,75.6702,BD IN PK,pan,pa,I,L,113000000.0,pa,"Amrita Pritam (1919 – 2005), an Indian novelist, essayist and poet"
5326,Polish,polski,,103899.0,poli1260,indo1319,lech1241,language,51.8439,18.6255,BY CZ DE LT PL RU SK UA,pol,pl,I,L,45000000.0,pl,"Stefan Żeromski (1864 – 1925), a Polish novelist and dramatist belonging to the Young Poland movement at the turn of the 20th century"
5332,Portuguese,Português (Brasil),,298891.0,port1283,indo1319,braz1247,language,39.91,-8.1,AD AR BO BR CO ES FR GF GY PE PT PY SR UY VE,por,pt,I,L,250000000.0,pt,"Raul Brandão (1867 – 1930), a Portuguese writer, journalist and military officer"
5613,Romanian,Română,,59314.0,roma1327,indo1319,east2865,language,46.3913,24.2256,BG HU MD RO RS UA,ron,ro,I,L,26000000.0,ro,"Mircea Eliade (1907 – 1986), a Romanian historian of religion, fiction writer, philosopher, and professor at the University of Chicago"
5644,Russian,русский,,420055.0,russ1263,indo1319,east1426,language,59.0,50.0,BY CN EE FI GE KG KP KZ LT LV MD MN NO PL RO RU SJ TM UA UZ,rus,ru,I,L,150000000.0,ru,"Peter the Great (1672 – 1725), the ruler of the Tsardom of Russia and later the Russian Empire"
5833,Sinhalese,සිංහල,,264.0,sinh1246,indo1319,sinh1247,language,8.0,81.0,LK,sin,si,I,L,17000000.0,si,"S. W. R. D. Bandaranaike (1899 – 1959), the fourth Prime Minister of the Dominion of Ceylon (now Sri Lanka)"
5892,Slovak,slovenčina,,6431.0,slov1269,indo1319,czec1260,language,48.545705,18.78479,AT CZ HU PL RS SK UA,slk,sk,I,L,5200000.0,sk,"Pavol Országh Hviezdoslav (1849 – 1921), a Slovak poet, dramatist, translator"
5902,Slovene,slovenščina,,5463.0,slov1268,indo1319,west2804,language,46.2543,14.7766,AT HR HU IT SI,slv,sl,I,L,2500000.0,sl,"Ivan Cankar (1876 – 1918), a Slovene writer, playwright, essayist, poet, and political activist"
5980,Spanish,español,,701866.0,stan1288,indo1319,cast1243,language,40.4414,-1.11788,AD AR BO BR BZ CL CO CR CU DO EC ES FR GI GT GY HN HT MA MX NI PA PE PR PT PY SV US UY VE,spa,es,I,L,586000000.0,es,"Ricky Martin (1971–), a Puerto Rican singer, songwriter, actor, author, record producer, and humanitarian who is known as the ""King of Latin Pop”"
6003,Albanian,shqip,,7346.0,alba1267,indo1319,clas1257,family,41.0,20.0,AL,sqi,sq,M,L,6000000.0,sq,"Hysni Kapo (1915 – 1979), an Albanian military commander and leading member of the Party of Labour of Albania"
6027,Serbian,српски (ћирилица),,,serb1264,indo1319,east2821,dialect,44.3238,21.9192,AL BA BG HR HU ME MK RO RS,srp,sr,I,L,12000000.0,sr,"Borislav Pekić (1930 – 1992), a Serbian and Yugoslav writer and political activist"
6112,Swahili,Kiswahili,,9519.0,swah1254,atla1278,saba1282,family,0.0,25.0,CD KE TZ UG,swa,sw,M,L,18000000.0,sw,"Ali Mazrui (1933 – 2014), a Kenyan-born American academic, professor, and political writer on African and Islamic studies"
6115,Swedish,Svenska,,109211.0,swed1254,indo1319,east2781,language,59.800634,17.389526,AX DK FI NO SE,swe,sv,I,L,10000000.0,sv,"Anna Greta Wide (1920 – 1965), a Swedish poet"
6187,Tamil,தமிழ்,,4453.0,tami1289,drav1251,tami1300,language,10.520219,78.825989,IN LK,tam,ta,I,L,75000000.0,ta,"Subramania Bharati (1882 – 1921), a Tamil writer, poet, journalist, Indian independence activist, social reformer and polyglot"
6281,Telugu,తెలుగు,,18874.0,telu1262,drav1251,telu1265,language,16.4529,78.7024,IN,tel,te,I,L,83000000.0,te,"Gidugu Venkata Ramamurthy (1863 – 1940), a Telugu writer and one of the earliest modern Telugu linguists and social visionaries during the British rule"
6311,Tagalog,Tagalog,,13580.0,taga1270,aust1307,taga1269,language,14.06,121.747,PH,tgl,tl,I,L,23800000.0,tl,"José Rizal (1861 – 1896), a Filipino nationalist and polymath during the tail end of the Spanish colonial period of the Philippines"
6325,Thai,ไทย,,17167.0,thai1261,taik1256,laot1235,language,14.192,100.671,KH MM TH,tha,th,I,L,36000000.0,th,
6615,Turkish,Türkçe,,23116.0,nucl1301,turk1311,west2406,language,39.8667,32.8667,AL AM AZ BG CY GE GR IQ IR MK SY TR,tur,tr,I,L,75700000.0,tr,"Mehmet Akif Ersoy (1873 – 1936), a Turkish poet, writer, academic, politician, and the author of the Turkish National Anthem"
6736,Ukrainian,українська,,8200.0,ukra1253,indo1319,ukra1257,language,49.796,29.945,BY HU MD PL RO RU SK UA,ukr,uk,I,L,35000000.0,uk,"Taras Shevchenko (1814 – 1861), a Ukrainian poet, writer, artist"
6782,Urdu,اُردو,,4346.0,urdu1245,indo1319,hind1270,language,25.0,67.0,AF BD IN PK,urd,ur,I,L,68620000.0,ur,"Ra’ana Liaquat Ali Khan (1905 – 1990), the First Lady of Pakistan from 1947 to 1951"
6824,Uzbek,ўзбекча,,1917.0,uzbe1247,turk1311,uygh1240,family,41.0,64.0,UZ,uzb,uz,M,L,34000000.0,uz,"Hamza Hakimzade Niyazi (1889 – 1929), an Uzbek author, composer, playwright, poet, scholar, political activist"
6858,Vietnamese,Việt,,24652.0,viet1252,aust1305,viet1251,language,20.681188,105.774071,CN LA VN,vie,vi,I,L,76000000.0,vi,"Ho Chi Minh (1890 – 1969), a Vietnamese revolutionary and politician, Prime Minister and President of North Vietnam"
7644,Cantonese,粤语,"Yue, Yüeh",1733.0,yuec1235,sino1245,yuep1234,language,23.0,113.0,CN VN,yue,,I,L,84000000.0,yue,"Bruce Lee (1940 – 1973), a Hong Kong American martial artist, actor, director, martial arts instructor and philosopher"
7731,Chinese,汉语,,143063.0,sini1245,sino1245,sino1245,family,40.0209,116.228,CN KP LA MM MN RU TW VN,zho,zh,M,L,1200000000.0,zh,"Hu Shih (1891 – 1962), a Chinese diplomat, essayist, literary scholar, philosopher, and politician"
